Postcode,Dwelling Type,FQ_Sales_Price,Median_Sales_Price,TQ_Sales_Price,Mean_Sales_Price,Sales_No,Qtly_Median_Change,Annual_Median_Change,Qtly_Count_Change,Annual_Count_Change,Year,Quarter
2099,Strata,840,970,1211,1070,119,-6.91%,10.42%,-34.62%,0.85%,2022,Q1
2100,Total,1089,1950,2750,2021,66,-15.22%,3.26%,-34.65%,-29.79%,2022,Q1
2100,Non Strata,2488,2750,3063,2815,36,7.84%,25.92%,-47.06%,-37.93%,2022,Q1
2100,Strata,780,1068,1438,1069,-,4.66%,18.61%,-9.09%,-16.67%,2022,Q1
2101,Total,1211,1690,2600,2015,53,-21.40%,5.62%,-52.25%,-20.90%,2022,Q1
2101,Non Strata,2308,2600,3053,2754,-,-0.57%,14.54%,-53.45%,-12.90%,2022,Q1
2101,Strata,1074,1231,1445,1248,-,-13.65%,13.68%,-50.94%,-27.78%,2022,Q1
2102,Total,1600,2055,2413,1981,-,20.88%,43.46%,-43.90%,-32.35%,2022,Q1
2102,Non Strata,2130,2560,2765,2498,-,7.68%,12.04%,-31.25%,-31.25%,2022,Q1
2102,Strata,1243,1600,1635,1507,-,0.00%,53.11%,-52.00%,-33.33%,2022,Q1
2103,Total,1318,2500,2725,2770,-,19.19%,31.58%,-50.00%,-28.21%,2022,Q1
2103,Non Strata,2600,2700,3800,4219,-,5.88%,-3.23%,-64.52%,-42.11%,2022,Q1
2103,Strata,1100,1400,2650,1833,-,5.66%,8.32%,-32.00%,-15.00%,2022,Q1
2104,Total,2880,3660,4050,3633,-,7.65%,42.52%,-20.00%,-29.41%,2022,Q1
2104,Non Strata,2880,3660,4050,3633,-,7.65%,42.52%,-20.00%,-29.41%,2022,Q1
2105,Total,-,-,-,-,-,-,-,-,-,2022,Q1
2105,Non Strata,-,-,-,-,-,-,-,-,-,2022,Q1
2106,Total,1328,2635,3386,2559,38,-0.94%,30.45%,-15.56%,-36.67%,2022,Q1
2106,Non Strata,2875,3378,3971,3634,-,10.74%,17.32%,-28.57%,-37.50%,2022,Q1
2106,Strata,1008,1218,1550,1364,-,-19.07%,0.04%,5.88%,-35.71%,2022,Q1
2107,Total,1675,2575,3080,2403,45,-15.02%,-9.33%,-52.63%,-19.64%,2022,Q1
2107,Non Strata,2228,2750,3150,2569,39,-15.71%,-7.72%,-48.68%,-20.41%,2022,Q1
2107,Strata,-,-,-,-,-,-,-,-,-,2022,Q1
2108,Total,-,-,-,-,-,-,-,-,-,2022,Q1
2108,Non Strata,-,-,-,-,-,-,-,-,-,2022,Q1
2110,Total,1520,3300,4330,3412,-,0.1092,0.3005,-0.42,-0.3095,2022,Q1
2110,Non Strata,3963,4328,5164,4937,-,-18.35%,28.57%,-44.83%,-42.86%,2022,Q1
2110,Strata,865,1381,1770,1534,-,18.54%,17.03%,-38.10%,-7.14%,2022,Q1
2111,Total,738,965,2000,1456,68,-6.31%,-7.17%,-43.33%,-26.09%,2022,Q1
2111,Non Strata,2195,2610,3300,2679,-,-10.00%,-13.00%,-60.38%,-32.26%,2022,Q1
2111,Strata,698,800,973,909,47,-3.61%,9.59%,-29.85%,-22.95%,2022,Q1
2112,Total,650,801,1943,1287,156,-26.28%,-12.50%,-26.07%,-4.29%,2022,Q1
2112,Non Strata,2188,2514,3068,2659,44,-0.28%,25.68%,-45.00%,-18.52%,2022,Q1
2112,Strata,600,693,830,748,112,-7.67%,-11.22%,-14.50%,2.75%,2022,Q1
2113,Total,720,953,1270,1174,113,-1.84%,-1.75%,-41.15%,-47.44%,2022,Q1
2113,Non Strata,2345,2440,2675,2494,-,0.00%,25.97%,-58.70%,-45.71%,2022,Q1
2113,Strata,701,855,1058,907,94,-5.13%,-8.85%,-35.62%,-47.78%,2022,Q1
2114,Total,625,849,1656,1310,100,3.54%,6.26%,-21.87%,-20.63%,2022,Q1
2114,Non Strata,1696,2110,2403,2077,-,-10.21%,15.30%,-46.34%,-24.14%,2022,Q1
2114,Strata,614,754,975,1094,78,12.54%,0.53%,-10.34%,-19.59%,2022,Q1
2115,Total,774,1600,1828,1357,35,-2.74%,21.90%,-44.44%,-41.67%,2022,Q1
2115,Non Strata,1750,1815,1938,1845,-,7.78%,26.48%,-62.00%,-54.76%,2022,Q1
2115,Strata,708,739,860,779,-,-2.76%,-7.36%,23.08%,-11.11%,2022,Q1
2116,Total,742,923,1415,1081,-,-40.26%,23.89%,-35.71%,-15.62%,2022,Q1
2116,Non Strata,-,-,-,-,-,-,-,-,-,2022,Q1
2116,Strata,650,810,910,793,-,-10.25%,26.56%,21.43%,21.43%,2022,Q1
2117,Total,1036,1331,1655,1340,72,-14.71%,3.22%,-34.55%,-29.41%,2022,Q1
2117,Non Strata,1550,1650,1780,1710,37,-4.49%,17.86%,-43.94%,-46.38%,2022,Q1
2117,Strata,744,1030,1121,950,35,19.08%,19.63%,-20.45%,6.06%,2022,Q1
2118,Total,761,900,1800,1256,127,12.29%,-0.33%,-17.53%,7.63%,2022,Q1
2118,Non Strata,1745,1890,2150,1982,49,-3.08%,18.05%,-14.04%,0.00%,2022,Q1
2118,Strata,695,770,861,800,78,1.72%,4.05%,-19.59%,13.04%,2022,Q1
2119,Total,1580,2025,2825,2164,-,-10.56%,5.47%,-60.66%,-51.02%,2022,Q1
2119,Non Strata,1875,2446,3088,2534,-,4.24%,11.56%,-64.71%,-45.45%,2022,Q1
2119,Strata,-,-,-,-,-,-,-,-,-,2022,Q1
2120,Total,1253,1818,2000,1659,60,-1.22%,28.54%,-39.39%,-31.82%,2022,Q1
2120,Non Strata,1803,1908,2133,1953,42,-0.26%,13.20%,-43.24%,-17.65%,2022,Q1
2120,Strata,801,1010,1240,974,-,1.81%,26.25%,-28.00%,-51.35%,2022,Q1
